ListingID,Neighbourhood,Walking time (mins),rank
11021171,Yau Tsim Mong,35.0,153.0
11025012,Yau Tsim Mong,10.6,32.0
11055163,Yau Tsim Mong,21.4,86.0
11067765,Yau Tsim Mong,6.4,11.0
11067988,Yau Tsim Mong,7.2,15.0
11071316,Yau Tsim Mong,32.2,139.0
11085754,Yau Tsim Mong,29.6,126.0
11093339,Yau Tsim Mong,39.2,174.0
11094032,Yau Tsim Mong,38.2,169.0
11095139,Yau Tsim Mong,23.0,94.0
11096386,Yau Tsim Mong,21.4,86.0
11098708,Yau Tsim Mong,19.2,75.0
11114037,Yau Tsim Mong,20.6,82.0
11117962,Yau Tsim Mong,24.4,101.0
11155266,Yau Tsim Mong,34.4,150.0
11177418,Yau Tsim Mong,35.6,156.0
11204329,Yau Tsim Mong,24.4,101.0
11214814,Yau Tsim Mong,21.0,84.0
11235469,Yau Tsim Mong,32.2,139.0
11246705,Yau Tsim Mong,34.2,149.0
11264406,Yau Tsim Mong,4.8,3.0
11285107,Yau Tsim Mong,35.4,155.0
11285481,Yau Tsim Mong,35.0,153.0
11285746,Yau Tsim Mong,34.2,149.0
11286011,Yau Tsim Mong,32.4,140.0
11286391,Yau Tsim Mong,32.4,140.0
11286664,Yau Tsim Mong,35.2,154.0
11290379,Yau Tsim Mong,6.6,12.0
11290610,Yau Tsim Mong,8.8,23.0
11291417,Yau Tsim Mong,20.6,82.0
11326308,Yau Tsim Mong,38.0,168.0
11327675,Yau Tsim Mong,22.4,91.0
11327828,Yau Tsim Mong,32.2,139.0
11353000,Yau Tsim Mong,23.2,95.0
11353871,Yau Tsim Mong,35.2,154.0
11354120,Yau Tsim Mong,36.2,159.0
11362628,Yau Tsim Mong,35.0,153.0
11401522,Yau Tsim Mong,32.4,140.0
11407336,Yau Tsim Mong,31.4,135.0
11421401,Yau Tsim Mong,33.4,145.0
11422113,Yau Tsim Mong,32.4,140.0
11424636,Yau Tsim Mong,32.4,140.0
11425868,Yau Tsim Mong,32.4,140.0
11437123,Yau Tsim Mong,20.6,82.0
11444175,Yau Tsim Mong,33.2,144.0
11444281,Yau Tsim Mong,4.8,3.0
11444539,Yau Tsim Mong,5.8,8.0
11444841,Yau Tsim Mong,32.4,140.0
11445680,Yau Tsim Mong,31.4,135.0
11446297,Yau Tsim Mong,32.0,138.0
11446638,Yau Tsim Mong,31.4,135.0
11448621,Yau Tsim Mong,8.8,23.0
11465300,Yau Tsim Mong,33.2,144.0
11466055,Yau Tsim Mong,34.0,148.0
11484638,Yau Tsim Mong,5.6,7.0
11493325,Yau Tsim Mong,24.0,99.0
11493489,Yau Tsim Mong,23.2,95.0
11507793,Yau Tsim Mong,7.2,15.0
11534885,Yau Tsim Mong,33.8,147.0
11554601,Yau Tsim Mong,7.4,16.0
11554702,Yau Tsim Mong,5.4,6.0
11557363,Yau Tsim Mong,34.2,149.0
11574010,Yau Tsim Mong,7.4,16.0
11577134,Yau Tsim Mong,6.2,10.0
11595618,Yau Tsim Mong,7.0,14.0
11622387,Yau Tsim Mong,33.0,143.0
11679778,Yau Tsim Mong,22.6,92.0
